"DateTime","moisture","StartDepth","EndDepth","default_calc","DUL","PWP","rescaled","moisture_perc"
2000-01-01 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-01 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-01 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-01 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-02 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-02 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-02 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-02 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-03 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-03 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-03 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-03 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-04 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-04 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-04 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-04 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-05 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-05 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-05 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-05 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-06 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-06 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-06 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-06 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-07 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-07 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-07 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-07 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-08 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-08 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-08 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-08 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-09 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-09 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-09 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-09 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-10 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-10 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-10 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-10 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-11 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-11 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-11 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-11 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-12 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-12 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-12 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-12 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-13 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-13 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-13 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-13 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-14 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-14 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-14 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-14 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-15 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-15 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-15 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-15 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-16 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-16 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-16 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-16 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-17 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-17 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-17 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
2000-01-17 23:59:59,NA,"100","200",NA,0.3507968,0.2321083,NA,NA
2000-01-18 23:59:59,NA,"015","030",NA,0.3083627,0.218113,NA,NA
2000-01-18 23:59:59,NA,"030","060",NA,0.3376188,0.2328493,NA,NA
2000-01-18 23:59:59,NA,"060","100",NA,0.348221,0.2377906,NA,NA
